person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,debt_to_income_ratio,income_per_credit_year,credit_history_to_age_ratio,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
26,11.034905792929415,1.0,2,9.210440366976517,11.26,0,0.16,0,2,0.16129032258064516,20666.666666666668,0.07692307692307693,0,0,0,1,1,0,0,0,0,0
23,10.571342565808699,3.0,3,8.517393171418904,12.98,0,0.13,0,4,0.1282051282051282,7800.0,0.17391304347826086,1,0,0,0,0,1,0,0,0,0
24,10.463131911491967,1.0,1,9.392745258631441,6.54,1,0.34,0,2,0.34285714285714286,11666.666666666666,0.08333333333333333,0,0,0,1,1,0,0,0,0,0
24,11.362114203075018,1.0,2,9.392745258631441,10.65,0,0.14,0,3,0.13953488372093023,21500.0,0.125,0,0,0,1,0,0,1,0,0,0
42,10.555838779903407,4.0,2,9.472781556562168,10.99,1,0.34,0,11,0.3385416666666667,3200.0,0.2619047619047619,0,0,0,1,0,0,0,1,0,0
30,10.753659849198824,0.0,1,8.922791623969637,7.88,0,0.16,0,10,0.16025641025641027,4254.545454545455,0.3333333333333333,0,0,0,1,0,1,0,0,0,0
27,11.289794413577894,11.0,2,8.922791623969637,11.71,0,0.09,0,10,0.09375,7272.727272727273,0.37037037037037035,1,0,0,0,0,1,0,0,0,0
28,11.034905792929415,3.0,2,9.127067452782361,10.0,0,0.15,0,9,0.14838709677419354,6200.0,0.32142857142857145,0,0,0,1,0,0,0,1,0,0
23,10.747229096720554,3.0,4,8.434028950155469,15.31,0,0.1,1,4,0.0989247311827957,9300.0,0.17391304347826086,0,0,0,1,0,1,0,0,0,0
39,11.082157933374816,12.0,2,9.90353755128617,10.74,1,0.31,0,17,0.3076923076923077,3611.1111111111113,0.4358974358974359,0,0,0,1,0,0,0,0,0,1
27,11.225256725762893,1.0,2,9.575052927597383,11.36,0,0.19,0,7,0.192,9375.0,0.25925925925925924,0,0,0,1,0,1,0,0,0,0
33,11.225256725762893,5.0,1,9.741027444837728,6.54,0,0.23,0,5,0.22666666666666666,12500.0,0.15151515151515152,0,0,1,0,0,0,1,0,0,0
21,9.692828247710418,3.0,1,7.0909098220799835,7.49,0,0.07,0,3,0.07407407407407407,4050.0,0.14285714285714285,0,0,0,1,0,1,0,0,0,0
22,10.799595985047786,2.0,5,10.085850775128717,17.56,1,0.49,0,4,0.4897959183673469,9800.0,0.18181818181818182,0,0,0,1,0,0,0,1,0,0
31,11.835016210489899,0.0,4,10.12667110305036,13.24,1,0.18,0,7,0.18115942028985507,17250.0,0.22580645161290322,0,0,0,1,0,0,0,0,0,1
24,12.206077645517674,8.0,1,9.210440366976517,8.49,0,0.05,0,4,0.05,40000.0,0.16666666666666666,0,0,0,1,0,1,0,0,0,0
23,11.08221946899627,4.0,4,8.006700845440367,14.84,0,0.05,0,3,0.0461510060919328,16251.0,0.13043478260869565,0,0,0,1,0,1,0,0,0,0
34,11.407576060361786,4.0,2,8.764209507142004,10.99,0,0.07,0,7,0.07111111111111111,11250.0,0.20588235294117646,0,0,0,1,0,0,0,1,0,0
22,9.700207901150696,0.0,2,8.517393171418904,12.53,1,0.31,0,2,0.30637254901960786,5440.0,0.09090909090909091,0,0,0,1,1,0,0,0,0,0
25,11.225256725762893,0.0,1,9.825580063659602,7.49,0,0.25,0,3,0.24666666666666667,18750.0,0.12,0,0,0,1,0,1,0,0,0,0
23,10.961295207644392,5.0,3,8.922791623969637,13.85,0,0.13,0,3,0.13020833333333334,14400.0,0.13043478260869565,0,0,0,1,0,0,0,1,0,0
25,10.819798284210286,0.0,2,9.305741456739435,12.53,0,0.22,0,2,0.22,16666.666666666668,0.08,0,0,0,1,0,1,0,0,0,0
25,11.197844788700635,9.0,3,9.210440366976517,12.99,0,0.14,0,3,0.13703886422189332,18243.0,0.12,1,0,0,0,0,0,0,0,1,0
22,11.440365524765756,6.0,2,8.922791623969637,10.99,0,0.08,0,4,0.08064516129032258,18600.0,0.18181818181818182,1,0,0,0,0,0,0,0,0,1
30,11.674202123168433,3.0,1,9.770013301136158,7.37,0,0.15,0,6,0.14893617021276595,16785.714285714286,0.2,1,0,0,0,0,0,0,0,1,0
35,10.294481794215836,6.0,3,8.699681400989514,13.23,0,0.2,1,10,0.20292207792207792,2688.0,0.2857142857142857,1,0,0,0,0,0,0,0,1,0
24,11.170449240431308,6.0,2,8.517393171418904,10.39,1,0.07,0,2,0.07042253521126761,23666.666666666668,0.08333333333333333,1,0,0,0,0,1,0,0,0,0
24,10.308985993422082,1.0,1,8.294299608857235,7.49,0,0.13,0,4,0.13333333333333333,6000.0,0.16666666666666666,0,0,0,1,0,0,0,0,0,1
27,9.923339198238729,4.0,1,8.476579508530941,7.49,0,0.24,0,6,0.23529411764705882,2914.285714285714,0.2222222222222222,0,0,0,1,1,0,0,0,0,0
