Model,Dataset,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,Validation,0.9328831594024964,0.9855263157894737,0.702626641651032,0.8203723986856517,0.9333533995255802
Gradient Boosting,Validation,0.9269490484960098,0.9425717852684145,0.7082551594746717,0.80878414568827,0.9327171653835596
Decision Tree,Validation,0.9304276652342951,0.9677835051546392,0.7045028142589118,0.8154180238870793,0.9170035446453955
Support Vector Classifier,Validation,0.8614692040106404,0.7790530846484935,0.5093808630393997,0.6159954622802042,0.8811507748479939
Logistic Regression,Validation,0.8622877020667076,0.7673469387755102,0.5290806754221389,0.6263187118267629,0.8778310148370343
K-Nearest Neighbors,Validation,0.899938612645795,0.8979310344827586,0.6106941838649156,0.7269681742043551,0.8722896523753151
Gradient Boosting,Test,0.9314648117839607,0.9452554744525548,0.7282099343955014,0.822657490735839,0.9317133868055658
Random Forest,Test,0.9349427168576104,0.9807445442875481,0.7160262417994376,0.8277356446370531,0.930860800582388
Decision Tree,Test,0.9314648117839607,0.956359102244389,0.7188378631677601,0.8207597645799893,0.9108296846191335
Support Vector Classifier,Test,0.8631342062193126,0.780281690140845,0.5192127460168697,0.6235227912211593,0.8804897808613035
Logistic Regression,Test,0.8629296235679215,0.7671601615074024,0.5342080599812559,0.6298342541436464,0.8768491199549082
K-Nearest Neighbors,Test,0.8938216039279869,0.8672922252010724,0.6063730084348641,0.7137341423055709,0.8738290123122183
